編號,案類,發生(現)日期,發生時段,地點,icon
26,住宅竊盜,1040115,07~09,台北市南港區九如里研究院路三段18巷1-30號,ylw_stars
27,住宅竊盜,1040115,22~24,台北市松山區饒河街181-210號,ylw_stars
28,住宅竊盜,1040117,10~12,台北市文山區明義里興隆路四段46巷31-60號,ylw_stars
29,住宅竊盜,1040118,07~09,台北市萬華區西園路二段320巷61-90號,ylw_stars
30,住宅竊盜,1040118,10~12,台北市大安區通化里通化街19巷1-30號,ylw_stars
31,住宅竊盜,1040118,19~21,台北市信義區富台里忠孝東路五段295巷6弄31-60號,ylw_stars
32,住宅竊盜,1040120,19~21,台北市南港區三重里重陽路511-540號,ylw_stars
33,住宅竊盜,1040121,07~09,台北市萬華區柳鄉里1鄰桂林路242巷6弄1-30號,ylw_stars
34,住宅竊盜,1040121,19~21,台北市中山區吉林路379巷1-30號,ylw_stars
35,住宅竊盜,1040121,19~21,台北市士林區百齡里21鄰通河東街一段61-90號,ylw_stars
36,住宅竊盜,1040121,22~24,台北市中山區中山北路一段53巷1-30號,ylw_stars
37,住宅竊盜,1040122,10~12,台北市大同區揚雅里承德路三段90巷1-30號,ylw_stars
38,住宅竊盜,1040122,16~18,台北市大安區龍安里青田街5巷1-30號,ylw_stars
39,住宅竊盜,1040123,13~15,台北市中正區龍光里和平西路二段1-30號,ylw_stars
40,住宅竊盜,1040123,19~21,台北市文山區萬興里21鄰秀明路二段115巷1-30號,ylw_stars
41,住宅竊盜,1040124,10~12,台北市萬華區梧州街60巷1-30號,ylw_stars
42,住宅竊盜,1040126,01~03,台北市萬華區民和街55巷1-30號,ylw_stars
43,住宅竊盜,1040126,07~09,台北市大同區酒泉街103巷1-30號,ylw_stars
44,住宅竊盜,1040126,19~21,台北市內湖區西康里4鄰文湖街11巷1-30號,ylw_stars
45,住宅竊盜,1040127,01~03,台北市中山區中山北路二段1-30號,ylw_stars
46,住宅竊盜,1040127,04~06,台北市中山區民生東路三段9巷1-30號,ylw_stars
