編號,案類,發生(現)日期,發生時段,地點,icon
161,自行車竊盜,1040609,16~18,台北市信義區松智路與松廉路口,wht_stars
162,自行車竊盜,1040609,19~21,台北市文山區明義里木柵路二段31-60號,wht_stars
163,自行車竊盜,1040610,01~03,台北市北投區福興里自強街31巷31-60號,wht_stars
164,自行車竊盜,1040610,01~03,台北市北投區福興里自強街31巷31-60號,wht_stars
165,自行車竊盜,1040613,10~12,台北市中山區新生北路三段31-60號,wht_stars
166,自行車竊盜,1040613,13~15,台北市北投區榮華里東華街一段48巷1-30號,wht_stars
167,自行車竊盜,1040613,16~18,台北市中正區東門里信義路一段1-30號,wht_stars
168,自行車竊盜,1040613,22~24,台北市南港區九如里研究院路二段211-240號,wht_stars
169,自行車竊盜,1040614,22~24,台北市文山區景東里景華街82巷1-30號,wht_stars
170,自行車竊盜,1040615,16~18,台北市大安區敦安里6鄰仁愛路四段121-150號,wht_stars
171,自行車竊盜,1040616,22~24,台北市大安區龍泉里師大路1-30號,wht_stars
172,自行車竊盜,1040619,04~06,台北市中山區松江路301-330號,wht_stars
173,自行車竊盜,1040619,04~06,台北市內湖區民權東路六段296巷31-60號,wht_stars
174,自行車竊盜,1040622,07~09,台北市南港區合成里忠孝東路六段1-30號,wht_stars
175,自行車竊盜,1040623,07~09,台北市南港區合成里昆陽捷運站旁停車場,wht_stars
176,自行車竊盜,1040623,07~09,台北市大安區和平東路三段181-210號,wht_stars
177,自行車竊盜,1040625,04~06,台北市信義區興雅里永吉路30巷121-150號,wht_stars
178,自行車竊盜,1040625,13~15,台北市信義區興雅里松高路1-30號,wht_stars
179,自行車竊盜,1040629,19~21,台北市北投區吉利里西安街一段,wht_stars
180,自行車竊盜,1040630,13~15,台北市大同區玉泉里鄭州路121-150號,wht_stars
181,自行車竊盜,1040701,19~21,台北市松山區南京東路五段三民路捷運三民南京站,wht_stars
182,自行車竊盜,1040702,19~21,台北市文山區樟文里辛亥路七段69巷1-30號,wht_stars
183,自行車竊盜,1040702,19~21,台北市中正區三愛里信義路二段241-270號,wht_stars
184,自行車竊盜,1040703,19~21,台北市信義區興雅里忠孝東路五段1-30號,wht_stars
185,自行車竊盜,1040704,13~15,台北市中山區天祥路1-30號,wht_stars
186,自行車竊盜,1040705,10~12,台北市大安區學府里羅斯福路四段1-30號,wht_stars
187,自行車竊盜,1040705,16~18,台北市信義區永春里忠孝東路五段後山埤捷運站,wht_stars
188,自行車竊盜,1040706,13~15,台北市中山區中山北路二段91-120號,wht_stars
189,自行車竊盜,1040707,13~15,台北市大安區新龍里建國南路二段121-150號,wht_stars
190,自行車竊盜,1040707,16~18,台北市萬華區中華路二段504巷1-30號,wht_stars
191,自行車竊盜,1040708,10~12,台北市文山區萬隆里萬隆街61-90號,wht_stars
192,自行車竊盜,1040712,13~15,台北市北投區文林里文林北路241-270號,wht_stars
193,自行車竊盜,1040712,19~21,台北市北投區文林里文林北路241-270號,wht_stars
194,自行車竊盜,1040713,10~12,台北市松山區新東街60巷1-30號,wht_stars
195,自行車竊盜,1040714,10~12,台北市北投區中央里大興街24巷6弄1-30號,wht_stars
196,自行車竊盜,1040714,19~21,台北市中山區劍南路捷運站,wht_stars
197,自行車竊盜,1040714,22~24,台北市北投區石牌里自強街120巷15弄口,wht_stars
198,自行車竊盜,1040716,16~18,台北市文山區興泰里15鄰辛亥路四段130巷,wht_stars
199,自行車竊盜,1040718,16~18,台北市南港區中南里忠孝東路七段361-390號,wht_stars
200,自行車竊盜,1040720,22~24,台北市中山區建國南路一段1-30號,wht_stars
201,自行車竊盜,1040722,10~12,台北市北投區永明里立農街二段331-360號,wht_stars
202,自行車竊盜,1040726,13~15,台北市中正區新營里羅斯福路一段1-30號,wht_stars
203,自行車竊盜,1040727,07~09,台北市南港區成福里成福路241-270號,wht_stars
204,自行車竊盜,1040727,19~21,台北市大安區古莊里浦城街1-30號,wht_stars
205,自行車竊盜,1040801,13~15,台北市文山區興福里13鄰興隆路二段22巷8弄1-30號,wht_stars
206,自行車竊盜,1040802,10~12,台北市中山區民族東路181-210號,wht_stars
207,自行車竊盜,1040803,01~03,台北市信義區長春里虎林街82巷1-30號,wht_stars
208,自行車竊盜,1040803,13~15,台北市文山區景華里三福街1-30號,wht_stars
209,自行車竊盜,1040804,07~09,台北市北投區榮光里西安街一段石牌捷運站2號出口附近,wht_stars
210,自行車竊盜,1040805,19~21,台北市內湖區內湖路一段387巷3弄1-30號,wht_stars
211,自行車竊盜,1040806,01~03,台北市信義區景勤里吳興街156巷31-60號,wht_stars
